dataset,fold,seed,model,test_acc,epochs_to_80_val,stopped_epoch,best_val_acc,spike_sparsity,params
DoOR,0,2013,ConnectomeSNN,0.46178057553956836,-1,23,0.4626798561151079,0.7930696376793674,1235892
DoOR,0,2013,ShuffledSNN,0.46560251798561153,-1,28,0.47009892086330934,0.8015331063339176,1235892
DoOR,0,2013,SparseMLP,0.493705035971223,-1,14,0.4948291366906475,0.0,1237492
DoOR,0,2013,DenseMLP,0.5006744604316546,-1,16,0.5011241007194245,0.0,1235147
DoOR,1,2013,ConnectomeSNN,0.4665017985611511,-1,18,0.47077338129496404,0.8072838348450424,1235892
DoOR,1,2013,ShuffledSNN,0.4680755395683453,-1,20,0.4745953237410072,0.8057025060379245,1235892
DoOR,1,2013,SparseMLP,0.49910071942446044,-1,16,0.5035971223021583,0.0,1237492
DoOR,1,2013,DenseMLP,0.5134892086330936,-1,14,0.5150629496402878,0.0,1235147
DoOR,2,2013,ConnectomeSNN,0.45705935251798563,-1,23,0.46110611510791366,0.8001494486554922,1235892
DoOR,2,2013,ShuffledSNN,0.45256294964028776,-1,23,0.45616007194244607,0.8070758775841417,1235892
DoOR,2,2013,SparseMLP,0.4799910071942446,-1,18,0.48044064748201437,0.0,1237492
DoOR,2,2013,DenseMLP,0.49055755395683454,-1,16,0.49303057553956836,0.0,1235147
DoOR,3,2013,ConnectomeSNN,0.45998201438848924,-1,44,0.4676258992805755,0.8070178163137369,1235892
DoOR,3,2013,ShuffledSNN,0.4527877697841727,-1,24,0.458408273381295,0.8021183674284018,1235892
DoOR,3,2013,SparseMLP,0.479091726618705,-1,19,0.4889838129496403,0.0,1237492
DoOR,3,2013,DenseMLP,0.4919064748201439,-1,20,0.49460431654676257,0.0,1235147
DoOR,4,2013,ConnectomeSNN,0.4278327338129496,-1,17,0.43030575539568344,0.7900607017304401,1235892
DoOR,4,2013,ShuffledSNN,0.4278327338129496,-1,20,0.43592625899280574,0.7969266529563521,1235892
DoOR,4,2013,SparseMLP,0.4635791366906475,-1,17,0.46785071942446044,0.0,1237492
DoOR,4,2013,DenseMLP,0.46672661870503596,-1,14,0.47819244604316546,0.0,1235147
